="",="(1)",="(2)"
="",="log_real_wage",="log_real_wage"
="",="b/se",="b/se"
="sector_public",=".0489633",=".0489633"
="",=".0128167",=".0128167"
="N",="49598",="49598"
="",="(1)",="(2)"
="",="log_real_wage",="log_real_wage"
="",="b/se",="b/se"
="q1",="",=""
="sector_public",=".1613403",=".146224"
="",=".0156088",=".0099753"
="q2",="",=""
="sector_public",=".1345887",=".1603089"
="",=".0133637",=".0102827"
="q3",="",=""
="sector_public",=".0710314",=".1457738"
="",=".014215",=".009383"
="q4",="",=""
="sector_public",="-.0054864",=".1096478"
="",=".0140906",=".0116586"
="q5",="",=""
="sector_public",="-.1051891",=".0466276"
="",=".0170883",=".0139962"
="N",="49598",="46893"
