="",="(1)",="(2)",="(3)",="(4)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="t_q1",="0.266***",="0.267***",="0.246***",="0.243***"
="",="(0.007)",="(0.008)",="(0.007)",="(0.008)"
="t_q2",="0.259***",="0.257***",="0.272***",="0.270***"
="",="(0.006)",="(0.006)",="(0.005)",="(0.005)"
="t_q3",="0.222***",="0.220***",="0.300***",="0.302***"
="",="(0.006)",="(0.006)",="(0.004)",="(0.005)"
="t_q4",="0.132***",="0.133***",="0.268***",="0.273***"
="",="(0.007)",="(0.007)",="(0.006)",="(0.006)"
="t_q5",="0.022**",="0.019**",="0.175***",="0.172***"
="",="(0.009)",="(0.010)",="(0.009)",="(0.009)"
="x_q1",="0.184***",="0.117***",="0.156***",="0.129***"
="",="(0.010)",="(0.008)",="(0.010)",="(0.007)"
="x_q2",="0.172***",="0.111***",="0.148***",="0.121***"
="",="(0.008)",="(0.006)",="(0.007)",="(0.005)"
="x_q3",="0.148***",="0.109***",="0.157***",="0.125***"
="",="(0.007)",="(0.005)",="(0.005)",="(0.004)"
="x_q4",="0.115***",="0.099***",="0.143***",="0.111***"
="",="(0.007)",="(0.005)",="(0.005)",="(0.005)"
="x_q5",="0.088***",="0.088***",="0.110***",="0.085***"
="",="(0.009)",="(0.006)",="(0.006)",="(0.007)"
="b_q1",="0.082***",="0.150***",="0.090***",="0.114***"
="",="(0.012)",="(0.012)",="(0.012)",="(0.011)"
="b_q2",="0.087***",="0.146***",="0.123***",="0.149***"
="",="(0.009)",="(0.007)",="(0.007)",="(0.006)"
="b_q3",="0.074***",="0.111***",="0.143***",="0.177***"
="",="(0.008)",="(0.007)",="(0.006)",="(0.006)"
="b_q4",="0.016*",="0.034***",="0.126***",="0.162***"
="",="(0.009)",="(0.007)",="(0.006)",="(0.007)"
="b_q5",="-0.065***",="-0.069***",="0.066***",="0.087***"
="",="(0.011)",="(0.010)",="(0.009)",="(0.011)"
="Observations",="49598",="49598",="46893",="46893"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
