="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="t_q1",="0.263***",="0.267***",="0.270***",="0.277***",="0.215***",="0.256***",="0.268***",="0.271***"
="",="(0.017)",="(0.015)",="(0.013)",="(0.014)",="(0.015)",="(0.017)",="(0.014)",="(0.018)"
="t_q2",="0.258***",="0.253***",="0.265***",="0.276***",="0.221***",="0.277***",="0.290***",="0.295***"
="",="(0.011)",="(0.011)",="(0.010)",="(0.013)",="(0.010)",="(0.010)",="(0.009)",="(0.010)"
="t_q3",="0.231***",="0.206***",="0.230***",="0.243***",="0.257***",="0.311***",="0.321***",="0.309***"
="",="(0.011)",="(0.011)",="(0.010)",="(0.014)",="(0.009)",="(0.009)",="(0.009)",="(0.010)"
="t_q4",="0.148***",="0.116***",="0.129***",="0.149***",="0.242***",="0.287***",="0.289***",="0.259***"
="",="(0.013)",="(0.013)",="(0.012)",="(0.016)",="(0.010)",="(0.011)",="(0.010)",="(0.013)"
="t_q5",="0.030*",="0.013",="-0.002",="0.049**",="0.160***",="0.172***",="0.187***",="0.160***"
="",="(0.016)",="(0.018)",="(0.017)",="(0.024)",="(0.018)",="(0.016)",="(0.013)",="(0.020)"
="x_q1",="0.117***",="0.131***",="0.118***",="0.124***",="0.109***",="0.138***",="0.129***",="0.134***"
="",="(0.021)",="(0.020)",="(0.016)",="(0.015)",="(0.014)",="(0.014)",="(0.012)",="(0.017)"
="x_q2",="0.119***",="0.122***",="0.108***",="0.110***",="0.116***",="0.121***",="0.132***",="0.116***"
="",="(0.012)",="(0.013)",="(0.011)",="(0.011)",="(0.008)",="(0.009)",="(0.008)",="(0.011)"
="x_q3",="0.128***",="0.124***",="0.099***",="0.103***",="0.121***",="0.123***",="0.143***",="0.118***"
="",="(0.009)",="(0.009)",="(0.008)",="(0.011)",="(0.007)",="(0.009)",="(0.008)",="(0.009)"
="x_q4",="0.131***",="0.120***",="0.083***",="0.087***",="0.109***",="0.114***",="0.127***",="0.103***"
="",="(0.010)",="(0.009)",="(0.008)",="(0.011)",="(0.009)",="(0.010)",="(0.007)",="(0.009)"
="x_q5",="0.110***",="0.122***",="0.069***",="0.081***",="0.077***",="0.090***",="0.106***",="0.075***"
="",="(0.015)",="(0.013)",="(0.010)",="(0.012)",="(0.013)",="(0.015)",="(0.010)",="(0.013)"
="b_q1",="0.146***",="0.136***",="0.152***",="0.154***",="0.105***",="0.117***",="0.138***",="0.137***"
="",="(0.025)",="(0.025)",="(0.020)",="(0.022)",="(0.021)",="(0.022)",="(0.020)",="(0.029)"
="b_q2",="0.139***",="0.130***",="0.157***",="0.166***",="0.105***",="0.156***",="0.158***",="0.180***"
="",="(0.014)",="(0.014)",="(0.013)",="(0.015)",="(0.012)",="(0.012)",="(0.011)",="(0.012)"
="b_q3",="0.103***",="0.082***",="0.131***",="0.140***",="0.136***",="0.187***",="0.179***",="0.191***"
="",="(0.012)",="(0.011)",="(0.011)",="(0.013)",="(0.011)",="(0.012)",="(0.010)",="(0.011)"
="b_q4",="0.017",="-0.004",="0.047***",="0.062***",="0.133***",="0.173***",="0.162***",="0.156***"
="",="(0.015)",="(0.013)",="(0.012)",="(0.014)",="(0.012)",="(0.015)",="(0.012)",="(0.014)"
="b_q5",="-0.080***",="-0.109***",="-0.071***",="-0.032",="0.083***",="0.081***",="0.081***",="0.085***"
="",="(0.019)",="(0.018)",="(0.017)",="(0.024)",="(0.020)",="(0.021)",="(0.016)",="(0.023)"
="Observations",="11015",="11038",="15315",="12230",="10074",="10501",="14409",="11909"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
